Data Sampler1
Fst.gyp.kötözött
Szárítás
#,Date,Time,Milliseconds,Day of week,Interval Time ms,Sub Interval Time ms,Triggered,Kamra Hőm. Values,Mag Hőm Values,Pára Values,Lépés típus Values,Kamra beáll. Values,Mag beáll. Values,Pára beáll. Values,
0,44277,0.350556,0,2,4,0,1,356,83,48,1,80,0,0,
1,44277,0.35125,0,2,60004,60000,0,316,80,92,1,80,0,0,
2,44277,0.351944,0,2,120005,60001,0,352,80,84,1,80,0,0,
3,44277,0.352639,0,2,180006,60001,0,384,79,79,1,80,0,0,
4,44277,0.353333,0,2,240007,60001,0,408,79,77,1,80,0,0,
5,44277,0.354028,0,2,300007,60000,0,429,80,73,1,80,0,0,
6,44277,0.354722,0,2,360005,59998,0,448,80,70,1,80,0,0,
7,44277,0.355417,0,2,420004,59999,0,466,80,69,1,80,0,0,
8,44277,0.356111,0,2,480004,60000,0,482,80,67,1,80,0,0,
9,44277,0.356806,0,2,540006,60002,0,495,80,66,1,80,0,0,
10,44277,0.3575,0,2,600005,59999,0,508,81,65,1,80,0,0,
11,44277,0.358194,0,2,660006,60001,0,520,81,64,1,80,0,0,
12,44277,0.358889,0,2,720005,59999,0,532,81,62,1,80,0,0,
13,44277,0.359583,0,2,780006,60001,0,543,81,62,1,80,0,0,
14,44277,0.360278,0,2,840004,59998,0,554,82,64,1,80,0,0,
15,44277,0.360972,0,2,900004,60000,0,562,82,59,1,80,0,0,
16,44277,0.361678,0,2,960005,60001,0,571,82,59,1,80,0,0,
17,44277,0.362373,0,2,1020007,60002,0,578,83,58,1,80,0,0,
18,44277,0.363067,0,2,1080004,59997,0,586,83,58,1,80,0,0,
19,44277,0.363762,0,2,1140006,60002,0,593,83,57,1,80,0,0,
20,44277,0.364456,0,2,1200006,60000,0,599,84,56,1,80,0,0,
21,44277,0.36515,0,2,1260005,59999,0,605,84,56,1,80,0,0,
22,44277,0.365833,0,2,1320005,60000,0,611,84,55,1,80,0,0,
23,44277,0.366528,0,2,1380007,60002,0,617,85,55,1,80,0,0,
24,44277,0.367222,0,2,1440004,59997,0,621,86,56,1,80,0,0,
25,44277,0.367917,0,2,1500004,60000,0,626,86,56,1,80,0,0,
26,44277,0.368611,0,2,1560006,60002,0,631,86,54,1,80,0,0,
27,44277,0.369306,0,2,1620006,60000,0,636,87,54,1,80,0,0,
28,44277,0.37,0,2,1680007,60001,0,640,88,56,1,80,0,0,
29,44277,0.370694,0,2,1740006,59999,0,645,89,55,1,80,0,0,
